id,text,category,ground_truth_concepts
1,"Hypertension is a chronic medical condition in which the arterial blood pressure is persistently elevated above normal levels. It is one of the leading risk factors for coronary artery disease, stroke, and chronic kidney disease. Management of hypertension typically involves both lifestyle modifications such as reduced sodium intake and regular exercise, as well as pharmacological interventions including ACE inhibitors and beta-blockers.",cardiovascular,"Hypertension,CardiovascularDisease,Antihypertensive,ACEInhibitor,BetaBlocker"
2,"Coronary artery disease occurs when the coronary arteries that supply blood to the heart muscle become narrowed or blocked due to atherosclerotic plaque buildup. Patients often present with chest pain known as angina, shortness of breath, and fatigue. Treatment options include statin therapy for cholesterol management, anticoagulant medications, angioplasty to widen blocked arteries, and coronary artery bypass grafting surgery.",cardiovascular,"CoronaryArteryDisease,Atherosclerosis,ChestPain,Statin,Angioplasty,BypassSurgery"
3,"Heart failure is a progressive condition where the heart is unable to pump blood efficiently enough to meet the body's metabolic demands. Common symptoms include dyspnea especially during physical exertion, peripheral edema in the lower extremities, and chronic fatigue. The condition is managed with ACE inhibitors, beta-blockers, diuretics, and in advanced cases cardiac resynchronization therapy or heart transplantation.",cardiovascular,"HeartFailure,Dyspnea,Edema,Fatigue,ACEInhibitor,BetaBlocker"
4,"Cardiac arrhythmias are disorders characterized by irregular heart rhythms resulting from abnormal electrical impulse conduction in the heart. Patients may experience palpitations, dizziness, shortness of breath, or syncope. Diagnosis is primarily through electrocardiography (ECG) and Holter monitoring. Treatment includes beta-blockers, antiarrhythmic drugs, anticoagulants to prevent stroke, and in some cases catheter ablation or pacemaker implantation.",cardiovascular,"Arrhythmia,Palpitations,Dizziness,ECG,BetaBlocker,Anticoagulant"
5,"Atherosclerosis is a chronic inflammatory disease of the arteries characterized by the accumulation of lipids, fibrous tissue, and calcium deposits within the arterial walls. It is the primary underlying cause of most cardiovascular diseases including coronary artery disease and peripheral arterial disease. Risk factors include hypertension, hyperlipidemia, diabetes, smoking, and obesity. Prevention focuses on statin therapy and lifestyle modifications.",cardiovascular,"Atherosclerosis,Hypertension,Hyperlipidemia,CoronaryArteryDisease,Statin"
6,"Myocardial infarction commonly known in clinical settings occurs when blood flow to a part of the heart muscle is blocked for a prolonged period causing tissue damage. The hallmark symptom is severe chest pain often radiating to the left arm and jaw accompanied by shortness of breath nausea and diaphoresis. Emergency treatment includes anticoagulant therapy, angioplasty, and potentially coronary artery bypass surgery. ECG and cardiac biomarker blood tests are essential for diagnosis.",cardiovascular,"MyocardialInfarction,ChestPain,Dyspnea,Anticoagulant,Angioplasty,ECG"
7,"Stroke is a cerebrovascular event that occurs when blood supply to the brain is interrupted either by a blood clot (ischemic stroke) or by rupture of a blood vessel (hemorrhagic stroke). Symptoms include sudden severe headache, dizziness, facial drooping, arm weakness, and speech difficulties. Risk factors include hypertension, atrial fibrillation, diabetes, and hyperlipidemia. Diagnosis involves CT scan and MRI imaging of the brain.",cardiovascular,"Stroke,Headache,Dizziness,Hypertension,CTScan,MRI"
8,"Antihypertensive medications are a class of drugs used to treat elevated blood pressure. The major categories include ACE inhibitors which block the angiotensin-converting enzyme, angiotensin receptor blockers (ARBs), calcium channel blockers, beta-blockers which reduce heart rate, and thiazide diuretics which reduce fluid volume. Selection of the appropriate antihypertensive depends on the patient's age, ethnicity, comorbidities, and blood pressure severity.",cardiovascular,"Antihypertensive,ACEInhibitor,BetaBlocker,Hypertension,BloodTest"
9,"Blood pressure monitoring is a fundamental diagnostic procedure used in the assessment and ongoing management of hypertension. Regular monitoring helps detect elevated blood pressure early before organ damage occurs. Both clinic-based measurements and ambulatory blood pressure monitoring are used. Target blood pressure values are typically below 130/80 mmHg for most adults, with adjustments made for elderly patients and those with specific comorbidities.",cardiovascular,"Hypertension,BloodTest,CardiovascularDisease"
10,"The electrocardiogram (ECG) is a non-invasive diagnostic test that records the electrical activity of the heart over a period of time. It is essential for detecting cardiac arrhythmias, myocardial infarction, and other cardiac abnormalities. The standard 12-lead ECG provides comprehensive information about heart rhythm, conduction abnormalities, and signs of cardiac ischemia or hypertrophy.",cardiovascular,"ECG,Arrhythmia,MyocardialInfarction,DiagnosticTest"
